identity_id,image_path,l2_dist,asr,ssim,psnr
Kamal_Kharrazi,results/phase2/robustness/downsample_facenet/Kamal_Kharrazi_0004_facenet_cloaked.png,1.436610,1,0.953756,37.0615
Keanu_Reeves,results/phase2/robustness/downsample_facenet/Keanu_Reeves_0010_facenet_cloaked.png,1.560774,1,0.942424,36.5005
Kevin_Spacey,results/phase2/robustness/downsample_facenet/Kevin_Spacey_0001_facenet_cloaked.png,1.736672,1,0.938747,36.8083
Kim_Clijsters,results/phase2/robustness/downsample_facenet/Kim_Clijsters_0008_facenet_cloaked.png,1.636109,1,0.951537,37.3219
Kim_Ryong-sung,results/phase2/robustness/downsample_facenet/Kim_Ryong-sung_0005_facenet_cloaked.png,1.399569,1,0.935112,35.3278
King_Abdullah_II,results/phase2/robustness/downsample_facenet/King_Abdullah_II_0001_facenet_cloaked.png,1.690186,1,0.945716,37.0631
King_Abdullah_II,results/phase2/robustness/downsample_facenet/King_Abdullah_II_0002_facenet_cloaked.png,1.725561,1,0.946149,37.2859
Lance_Armstrong,results/phase2/robustness/downsample_facenet/Lance_Armstrong_0013_facenet_cloaked.png,1.801744,1,0.961047,38.9699
Lance_Bass,results/phase2/robustness/downsample_facenet/Lance_Bass_0005_facenet_cloaked.png,1.662439,1,0.939307,36.4079
Larry_Brown,results/phase2/robustness/downsample_facenet/Larry_Brown_0003_facenet_cloaked.png,1.689791,1,0.955072,38.5256
Laura_Bush,results/phase2/robustness/downsample_facenet/Laura_Bush_0013_facenet_cloaked.png,1.720046,1,0.955744,37.6450
Laura_Bush,results/phase2/robustness/downsample_facenet/Laura_Bush_0016_facenet_cloaked.png,1.479323,1,0.948683,35.2991
Li_Zhaoxing,results/phase2/robustness/downsample_facenet/Li_Zhaoxing_0007_facenet_cloaked.png,1.610222,1,0.947664,37.1368
Lucio_Gutierrez,results/phase2/robustness/downsample_facenet/Lucio_Gutierrez_0004_facenet_cloaked.png,1.670113,1,0.952586,37.1454
Lucy_Liu,results/phase2/robustness/downsample_facenet/Lucy_Liu_0005_facenet_cloaked.png,1.761108,1,0.943342,36.4366
Luis_Ernesto_Derbez_Bautista,results/phase2/robustness/downsample_facenet/Luis_Ernesto_Derbez_Bautista_0003_facenet_cloaked.png,1.701252,1,0.944380,36.4255
Luis_Gonzalez_Macchi,results/phase2/robustness/downsample_facenet/Luis_Gonzalez_Macchi_0003_facenet_cloaked.png,1.558119,1,0.931280,36.0804
Madonna,results/phase2/robustness/downsample_facenet/Madonna_0002_facenet_cloaked.png,1.830427,1,0.947207,37.3194
Madonna,results/phase2/robustness/downsample_facenet/Madonna_0003_facenet_cloaked.png,1.751511,1,0.947661,37.3186
Mahathir_Mohamad,results/phase2/robustness/downsample_facenet/Mahathir_Mohamad_0010_facenet_cloaked.png,1.729118,1,0.939511,36.5914
Mahmoud_Abbas,results/phase2/robustness/downsample_facenet/Mahmoud_Abbas_0021_facenet_cloaked.png,1.590749,1,0.961437,36.7548
Marcelo_Rios,results/phase2/robustness/downsample_facenet/Marcelo_Rios_0005_facenet_cloaked.png,1.508591,1,0.940104,35.7218
Marco_Antonio_Barrera,results/phase2/robustness/downsample_facenet/Marco_Antonio_Barrera_0004_facenet_cloaked.png,1.662338,1,0.950127,36.9818
Mark_Philippoussis,results/phase2/robustness/downsample_facenet/Mark_Philippoussis_0005_facenet_cloaked.png,1.764074,1,0.956520,38.2811
Mark_Philippoussis,results/phase2/robustness/downsample_facenet/Mark_Philippoussis_0006_facenet_cloaked.png,1.774673,1,0.950421,37.0185
Martina_McBride,results/phase2/robustness/downsample_facenet/Martina_McBride_0001_facenet_cloaked.png,1.621041,1,0.948821,37.2453
Michael_Bloomberg,results/phase2/robustness/downsample_facenet/Michael_Bloomberg_0012_facenet_cloaked.png,1.633802,1,0.938170,37.2094
Michael_Chang,results/phase2/robustness/downsample_facenet/Michael_Chang_0002_facenet_cloaked.png,1.426125,1,0.942497,36.9014
Michael_Chang,results/phase2/robustness/downsample_facenet/Michael_Chang_0003_facenet_cloaked.png,1.449657,1,0.942856,37.0916
Michael_Chang,results/phase2/robustness/downsample_facenet/Michael_Chang_0007_facenet_cloaked.png,1.687513,1,0.944584,37.0497
Michelle_Kwan,results/phase2/robustness/downsample_facenet/Michelle_Kwan_0007_facenet_cloaked.png,1.461804,1,0.946146,35.8386
Mike_Krzyzewski,results/phase2/robustness/downsample_facenet/Mike_Krzyzewski_0001_facenet_cloaked.png,1.493529,1,0.947671,36.3360
Mike_Krzyzewski,results/phase2/robustness/downsample_facenet/Mike_Krzyzewski_0002_facenet_cloaked.png,1.447912,1,0.949353,36.2123
Mike_Krzyzewski,results/phase2/robustness/downsample_facenet/Mike_Krzyzewski_0006_facenet_cloaked.png,1.452660,1,0.945803,36.2462
Mohammad_Khatami,results/phase2/robustness/downsample_facenet/Mohammad_Khatami_0005_facenet_cloaked.png,1.533790,1,0.929892,35.2508
Mohammad_Khatami,results/phase2/robustness/downsample_facenet/Mohammad_Khatami_0010_facenet_cloaked.png,1.657454,1,0.949466,37.9812
Monica_Seles,results/phase2/robustness/downsample_facenet/Monica_Seles_0006_facenet_cloaked.png,1.545641,1,0.944850,35.9974
Nadia_Petrova,results/phase2/robustness/downsample_facenet/Nadia_Petrova_0004_facenet_cloaked.png,1.766683,1,0.950519,38.0867
Naomi_Watts,results/phase2/robustness/downsample_facenet/Naomi_Watts_0021_facenet_cloaked.png,1.617201,1,0.953465,35.5888
Naomi_Watts,results/phase2/robustness/downsample_facenet/Naomi_Watts_0022_facenet_cloaked.png,1.738764,1,0.959417,39.0236
Oscar_De_La_Hoya,results/phase2/robustness/downsample_facenet/Oscar_De_La_Hoya_0007_facenet_cloaked.png,1.683989,1,0.952768,35.3967
Oswaldo_Paya,results/phase2/robustness/downsample_facenet/Oswaldo_Paya_0004_facenet_cloaked.png,1.527808,1,0.943812,36.4217
Oswaldo_Paya,results/phase2/robustness/downsample_facenet/Oswaldo_Paya_0005_facenet_cloaked.png,1.494641,1,0.949185,34.8003
Paul_Bremer,results/phase2/robustness/downsample_facenet/Paul_Bremer_0004_facenet_cloaked.png,1.520511,1,0.939908,35.5512
Paul_Bremer,results/phase2/robustness/downsample_facenet/Paul_Bremer_0012_facenet_cloaked.png,1.604927,1,0.942456,36.1906
Paula_Radcliffe,results/phase2/robustness/downsample_facenet/Paula_Radcliffe_0002_facenet_cloaked.png,1.634685,1,0.945260,37.5752
Paula_Radcliffe,results/phase2/robustness/downsample_facenet/Paula_Radcliffe_0005_facenet_cloaked.png,1.790512,1,0.956882,38.6362
Pedro_Almodovar,results/phase2/robustness/downsample_facenet/Pedro_Almodovar_0003_facenet_cloaked.png,1.731848,1,0.952728,37.7037
Pete_Sampras,results/phase2/robustness/downsample_facenet/Pete_Sampras_0006_facenet_cloaked.png,1.668609,1,0.940485,36.7398
Pierce_Brosnan,results/phase2/robustness/downsample_facenet/Pierce_Brosnan_0002_facenet_cloaked.png,1.589168,1,0.934561,35.6979
Pierce_Brosnan,results/phase2/robustness/downsample_facenet/Pierce_Brosnan_0008_facenet_cloaked.png,1.656095,1,0.942331,36.8854
Prince_Charles,results/phase2/robustness/downsample_facenet/Prince_Charles_0004_facenet_cloaked.png,1.560618,1,0.944685,36.0930
Queen_Elizabeth_II,results/phase2/robustness/downsample_facenet/Queen_Elizabeth_II_0009_facenet_cloaked.png,1.223215,1,0.948602,36.0997
Queen_Elizabeth_II,results/phase2/robustness/downsample_facenet/Queen_Elizabeth_II_0012_facenet_cloaked.png,1.576852,1,0.941092,36.3503
Ralf_Schumacher,results/phase2/robustness/downsample_facenet/Ralf_Schumacher_0004_facenet_cloaked.png,1.724604,1,0.944314,35.3722
Ralf_Schumacher,results/phase2/robustness/downsample_facenet/Ralf_Schumacher_0005_facenet_cloaked.png,1.581135,1,0.942793,34.9174
Recep_Tayyip_Erdogan,results/phase2/robustness/downsample_facenet/Recep_Tayyip_Erdogan_0021_facenet_cloaked.png,1.749966,1,0.934823,35.6240
Ricardo_Sanchez,results/phase2/robustness/downsample_facenet/Ricardo_Sanchez_0001_facenet_cloaked.png,1.393960,1,0.935359,34.9082
Ricardo_Sanchez,results/phase2/robustness/downsample_facenet/Ricardo_Sanchez_0005_facenet_cloaked.png,1.462631,1,0.934157,34.6062
Richard_Armitage,results/phase2/robustness/downsample_facenet/Richard_Armitage_0006_facenet_cloaked.png,1.792516,1,0.947886,38.6354
Richard_Armitage,results/phase2/robustness/downsample_facenet/Richard_Armitage_0008_facenet_cloaked.png,1.623917,1,0.926445,36.0968
