identity_id,image_path,cosine_sim,asr,ssim,psnr
Lucio_Gutierrez,results/phase2/robustness/downsample/Lucio_Gutierrez_0004_cloaked.png,0.585633,0,0.964706,36.1212
Lucy_Liu,results/phase2/robustness/downsample/Lucy_Liu_0005_cloaked.png,0.493632,0,0.955790,35.5869
Luis_Ernesto_Derbez_Bautista,results/phase2/robustness/downsample/Luis_Ernesto_Derbez_Bautista_0003_cloaked.png,0.537070,0,0.948409,35.0840
Luis_Gonzalez_Macchi,results/phase2/robustness/downsample/Luis_Gonzalez_Macchi_0003_cloaked.png,0.399649,0,0.933670,35.0907
Madonna,results/phase2/robustness/downsample/Madonna_0002_cloaked.png,0.331288,0,0.958207,36.2011
Madonna,results/phase2/robustness/downsample/Madonna_0003_cloaked.png,0.360666,0,0.957698,37.0441
Mahathir_Mohamad,results/phase2/robustness/downsample/Mahathir_Mohamad_0010_cloaked.png,0.613809,0,0.944618,35.3568
Mahmoud_Abbas,results/phase2/robustness/downsample/Mahmoud_Abbas_0021_cloaked.png,0.432605,0,0.958791,33.9626
Marcelo_Rios,results/phase2/robustness/downsample/Marcelo_Rios_0005_cloaked.png,0.613626,0,0.954896,34.6740
Marco_Antonio_Barrera,results/phase2/robustness/downsample/Marco_Antonio_Barrera_0004_cloaked.png,0.436916,0,0.965922,36.7154
Mark_Philippoussis,results/phase2/robustness/downsample/Mark_Philippoussis_0005_cloaked.png,0.385568,0,0.969188,38.0020
Mark_Philippoussis,results/phase2/robustness/downsample/Mark_Philippoussis_0006_cloaked.png,0.435376,0,0.954565,35.0800
Martina_McBride,results/phase2/robustness/downsample/Martina_McBride_0001_cloaked.png,0.387484,0,0.958416,36.4678
Michael_Bloomberg,results/phase2/robustness/downsample/Michael_Bloomberg_0012_cloaked.png,0.275483,1,0.944635,36.5382
Michael_Chang,results/phase2/robustness/downsample/Michael_Chang_0002_cloaked.png,0.527008,0,0.960171,36.7891
Michael_Chang,results/phase2/robustness/downsample/Michael_Chang_0003_cloaked.png,0.615654,0,0.966612,37.4704
Michael_Chang,results/phase2/robustness/downsample/Michael_Chang_0007_cloaked.png,0.595372,0,0.955394,36.2452
Michelle_Kwan,results/phase2/robustness/downsample/Michelle_Kwan_0007_cloaked.png,0.593024,0,0.968551,34.8461
Mike_Krzyzewski,results/phase2/robustness/downsample/Mike_Krzyzewski_0001_cloaked.png,0.659155,0,0.958128,35.1480
Mike_Krzyzewski,results/phase2/robustness/downsample/Mike_Krzyzewski_0002_cloaked.png,0.705440,0,0.965876,35.4686
Mike_Krzyzewski,results/phase2/robustness/downsample/Mike_Krzyzewski_0006_cloaked.png,0.591662,0,0.960211,35.6737
Mohammad_Khatami,results/phase2/robustness/downsample/Mohammad_Khatami_0005_cloaked.png,0.511616,0,0.941393,33.9452
Mohammad_Khatami,results/phase2/robustness/downsample/Mohammad_Khatami_0010_cloaked.png,0.668323,0,0.963736,37.8614
Monica_Seles,results/phase2/robustness/downsample/Monica_Seles_0006_cloaked.png,0.507215,0,0.961100,35.5605
Nadia_Petrova,results/phase2/robustness/downsample/Nadia_Petrova_0004_cloaked.png,0.580759,0,0.966549,37.6832
Naomi_Watts,results/phase2/robustness/downsample/Naomi_Watts_0021_cloaked.png,0.335680,0,0.959969,33.8427
Naomi_Watts,results/phase2/robustness/downsample/Naomi_Watts_0022_cloaked.png,0.126745,1,0.969513,38.5080
Oscar_De_La_Hoya,results/phase2/robustness/downsample/Oscar_De_La_Hoya_0007_cloaked.png,0.690359,0,0.958201,33.7941
Oswaldo_Paya,results/phase2/robustness/downsample/Oswaldo_Paya_0004_cloaked.png,0.527642,0,0.955503,35.6243
Oswaldo_Paya,results/phase2/robustness/downsample/Oswaldo_Paya_0005_cloaked.png,0.669428,0,0.955388,32.9074
Paul_Bremer,results/phase2/robustness/downsample/Paul_Bremer_0004_cloaked.png,0.520805,0,0.950096,34.3818
Paul_Bremer,results/phase2/robustness/downsample/Paul_Bremer_0012_cloaked.png,0.681025,0,0.949788,35.0217
Paula_Radcliffe,results/phase2/robustness/downsample/Paula_Radcliffe_0002_cloaked.png,0.391837,0,0.959281,37.3302
Paula_Radcliffe,results/phase2/robustness/downsample/Paula_Radcliffe_0005_cloaked.png,0.512385,0,0.964083,38.1285
Pedro_Almodovar,results/phase2/robustness/downsample/Pedro_Almodovar_0003_cloaked.png,0.428564,0,0.965617,37.0580
Pete_Sampras,results/phase2/robustness/downsample/Pete_Sampras_0006_cloaked.png,0.517400,0,0.955660,36.5743
Pierce_Brosnan,results/phase2/robustness/downsample/Pierce_Brosnan_0002_cloaked.png,0.504022,0,0.933617,33.9661
Pierce_Brosnan,results/phase2/robustness/downsample/Pierce_Brosnan_0008_cloaked.png,0.525604,0,0.949129,35.9746
Prince_Charles,results/phase2/robustness/downsample/Prince_Charles_0004_cloaked.png,0.798289,0,0.962505,36.1774
Queen_Elizabeth_II,results/phase2/robustness/downsample/Queen_Elizabeth_II_0009_cloaked.png,0.410397,0,0.970872,36.3883
Queen_Elizabeth_II,results/phase2/robustness/downsample/Queen_Elizabeth_II_0012_cloaked.png,0.437437,0,0.952378,35.0807
Ralf_Schumacher,results/phase2/robustness/downsample/Ralf_Schumacher_0004_cloaked.png,0.616976,0,0.957364,34.2108
Ralf_Schumacher,results/phase2/robustness/downsample/Ralf_Schumacher_0005_cloaked.png,0.604440,0,0.949765,33.2906
Recep_Tayyip_Erdogan,results/phase2/robustness/downsample/Recep_Tayyip_Erdogan_0021_cloaked.png,0.343308,0,0.952728,34.7328
Ricardo_Sanchez,results/phase2/robustness/downsample/Ricardo_Sanchez_0001_cloaked.png,0.642885,0,0.932356,33.0931
Ricardo_Sanchez,results/phase2/robustness/downsample/Ricardo_Sanchez_0005_cloaked.png,0.735954,0,0.937224,33.1009
